start season,Sector,Square,Burrow Code,Type CODE,Unique Code,Latitude (N),Longitude (E),occ/sp2011,S/sp2011,occ/su2011,S/su2011,occ/au2011,S/au2011,occ/sp2012,S/sp2012,occ/su2012,S/su2012,occ/au2012,S/au2012,occ/sp2013,Alt(m),tree,bsland_OK,bscode_corrected,bscode_simple,bsland1_OK,bscode1_OK,Bscharact_all,Remark
sp2011,7934,RS5,3,B,7934sq5B3,45.7010475453,75.1381133683,4,78.5398163398,0,0,0,0,0,0,0,0,0,0,1,354,1,sand/dune,12HS,7sand,DE,18,18DE,Disappeared. Sand
sp2011,7934,RS5,9,B,7934sq5B9,45.7016989868,75.1369502954,3,380.1327110844,2,201.0619298298,3,95.0331777711,4,226.9800692219,3,201.0619298298,4,380.1327110844,4,349,0,sand/dune,12HS,7sand,DE,18,18DE,changed to bs 9; sand; Meriones
sp2011,7934,RS5,10,B,7934sq5B10,45.7018592488,75.137369642,3,155.5088363527,2,153.9380400259,2,78.5398163398,0,0,0,0,0,0,1,349,0,sand/dune,12HS,7sand,DE,18,18DE,Sand ; disappeared
sp2011,7934,RS5,15,B,7934sq5B15,45.7020830456,75.1371869165,4,247.4004214702,3,254.4690049408,4,201.0619298298,4,314.159265359,3,201.0619298298,3,283.5287369865,3,346,0,sand/dune,12HS,7sand,DE,18,18DE,Sand ; Meriones
sp2011,7934,RS6,3,B,7934sq6B3,45.7037401479,75.1428175438,4,2356.1944901925,4,164.1482161501,4,577.2676500972,4,306.305283725,4,471.2388980385,4,863.9379797373,4,350,0,sand/dune,12HS,7sand,DE,18,18DE,Meriones
sp2011,7934,RS6,1,B,7934sq6B1,45.704027731,75.1416105498,4,314.159265359,3,373.0641276138,4,409.9778412935,2,346.3605900583,3,380.1327110844,4,518.3627878424,4,354,0,sand/dune,12HS,7sand,DE,18,18DE,Meriones
sp2011,7934,RS6,5,B,7934sq6B5,45.7040310837,75.1436578296,4,615.7521601036,2,346.3605900583,3,415.4756284373,4,415.4756284373,4,283.5287369865,4,471.2388980385,2,351,1,sand/dune,12HS,7sand,DE,18,18DE,Meriones
sp2011,7934,RS6,9,B,7934sq6B9,45.7044998836,75.1411549095,4,452.389342117,3,153.9380400259,4,381.7035074112,2,234.8340508559,4,226.9800692219,3,380.1327110844,2,355,0,sand/dune,12HS,7sand,DE,18,18DE,Meriones
sp2011,7934,RS6,10,B,7934sq6B10,45.7049318869,75.1412507147,4,706.8583470578,4,353.4291735289,4,572.5552611168,2,452.389342117,4,176.7145867644,4,346.3605900583,2,356,0,sand/dune,12HS,7sand,DE,18,18DE,
au2011,7934,RS15,33,B,7934sq15B33,45.709026,75.183789,no data,no data,no data,no data,4,201.0619298298,2,132.7322896142,4,226.9800692219,4,301.5928947446,4,352,0,sand/dune,12HS,7sand,DE,18,18DE,changed from new to bs 33; Meriones
sp2011,7934,RS15,12,B,7934sq15B12,45.710027162,75.1837546751,4,314.159265359,2,95.0331777711,3,153.9380400259,2,314.159265359,3,113.0973355292,4,316.5154598492,2,350,0,sand/dune,12HS,7sand,DE,18,18DE,small; sand
sp2011,9123,RS1,1,B,9123sq1B1,45.5185575876,75.297191916,3,241.9026343264,2,93.4623814443,no data,0,no data,no data,4,626.7477343912,no data,no data,2,352,1,sand/dune,12HS,7sand,DE,18,18DE,Orient.- 0°; Meriones
sp2011,9123,RS1,29,B,9123sq1B29,45.5187376309,75.2970950212,3,530.9291584567,4,207.3451151369,4,522.2897786593,4,600.8295949991,4,427.2566008882,4,552.1349088684,4,350,0,sand/dune,12HS,7sand,DE,18,18DE,Orient.- 145°
sp2011,9123,RS2,23,B,9123sq2B23,45.5245218985,75.2932942472,3,254.4690049408,2,201.0619298298,3,176.7145867644,2,201.0619298298,3,50.2654824574,1,132.7322896142,3,355,1,sand/dune,12HS,7sand,DE,18,18DE,Meriones
sp2011,9123,RS2,27,B,9123sq2B27,45.5242299568,75.2927221823,4,462.5995182411,2,254.4690049408,4,254.4690049408,3,314.159265359,4,226.9800692219,3,314.159265359,4,354,0,sand/dune,12HS,7sand,DE,18,18DE,
sp2011,9123,RS2,29,B,9123sq2B29,45.5249798018,75.293180421,4,855.2985999399,4,572.5552611168,4,283.5287369865,4,254.4690049408,4,452.389342117,4,415.4756284373,3,357,1,sand/dune,12HS,7sand,DE,18,18DE,probably burrow system 29
sp2011,9123,RS2,8,B,9123sq2B8,45.5246685818,75.2949013934,4,962.1127501619,4,530.9291584567,4,490.8738521234,4,254.4690049408,4,226.9800692219,4,201.0619298298,4,356,1,sand/dune,12HS,7sand,DE,18,18DE,
sp2011,9123,RS2,9,B,9123sq2B9,45.5250087194,75.2950621583,4,1143.5397259068,4,415.4756284373,4,314.159265359,4,452.389342117,4,314.159265359,4,487.7322594698,4,353,0,sand/dune,12HS,7sand,DE,18,18DE,
